SW,Switch_1,4
SW,Switch_2,4
SW,Switch_3,4
SW,Switch_4,4
ES,ES_1,1
ES,ES_2,1
ES,ES_3,1
ES,ES_4,1
ES,ES_5,1
ES,ES_6,1
ES,ES_7,1
ES,ES_8,1
LINK,Link_1,ES_1,1,Switch_1,1
LINK,Link_2,ES_2,1,Switch_1,2
LINK,Link_3,ES_3,1,Switch_2,1
LINK,Link_4,ES_4,1,Switch_2,2
LINK,Link_5,ES_5,1,Switch_3,1
LINK,Link_6,ES_6,1,Switch_3,2
LINK,Link_7,ES_7,1,Switch_4,1
LINK,Link_8,ES_8,1,Switch_4,2
LINK,Link_9,Switch_1,3,Switch_3,3
LINK,Link_10,Switch_1,4,Switch_2,3
LINK,Link_11,Switch_2,4,Switch_4,3
LINK,Link_12,Switch_3,4,Switch_4,4
